Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sterling Brown,SG,25,HOU,26,1,21.4,2.8,6.2,0.45,1.5,3.8,0.408,1.2,2.4,0.516,0.575,0.4,0.4,1,0.8,3.1,3.9,1.8,1,0.3,0.7,2,7.5
Troy Brown Jr.,SF,21,WAS,13,0,15.8,1.7,4.8,0.355,0.8,2.8,0.306,0.8,2,0.423,0.444,0.5,0.9,0.583,0.6,2.8,3.5,1,0.2,0.2,0.9,1.8,4.8
Jalen Brunson,PG,24,DAL,24,6,24.1,4.3,8.3,0.515,1.1,2.8,0.382,3.2,5.5,0.583,0.58,2,2.3,0.889,0.2,3,3.2,3.6,0.4,0,1.2,1.5,11.7
Thomas Bryant,C,23,WAS,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,5,7,0.714,0.698,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
Reggie Bullock,SF,29,NYK,25,25,26.8,3.1,7.6,0.411,1.8,4.6,0.383,1.4,3,0.453,0.526,0.5,0.6,0.813,0.3,3.2,3.5,1.4,0.7,0.2,0.7,2.5,8.5
Trey Burke,PG,28,DAL,27,0,17.3,2.9,6.6,0.444,1.3,3.4,0.396,1.6,3.2,0.494,0.545,0.9,1,0.852,0.1,1,1.1,1.6,0.8,0.1,0.6,1.5,8
Alec Burks,SG,29,NYK,18,3,25.5,3.6,9,0.395,2,4.9,0.409,1.6,4.1,0.378,0.506,1.9,2.4,0.814,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1
Jimmy Butler,SF,31,MIA,16,16,32.9,6,13.7,0.438,0.3,1.5,0.167,5.8,12.2,0.472,0.447,7.2,8.4,0.858,1.8,5.9,7.7,7.4,1.9,0.4,2.1,1.1,19.4
Bruno Caboclo,PF,25,HOU,6,0,6,1.3,2.8,0.471,0,0.8,0,1.3,2,0.667,0.471,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0,0.3,0.7,1,2.8
Devontae Cacok,PF,24,LAL,1,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Kentavious Caldwell-Pope,SG,27,LAL,25,25,25.1,3,6.7,0.446,1.6,3.7,0.424,1.4,3,0.474,0.563,0.9,1.1,0.852,0.3,1.9,2.2,1.3,0.8,0.3,1,1.6,8.5
Facundo Campazzo,PG,29,DEN,25,1,14,1.5,3.8,0.396,1,2.6,0.375,0.6,1.3,0.438,0.521,0.9,1.2,0.759,0.2,0.6,0.8,1.9,0.9,0.2,0.7,1.8,4.9
Vlatko Cancar,PF,23,DEN,13,0,3.5,0.2,1.1,0.214,0.1,0.6,0.125,0.2,0.5,0.333,0.25,0.1,0.2,0.5,0.2,0.7,0.9,0.1,0.3,0.2,0.4,0.2,0.6
Clint Capela,C,26,ATL,25,25,29.3,6.3,10.9,0.579,0,0,0,6.3,10.9,0.579,0.579,1.6,3.1,0.532,4.6,9.4,14,1,0.8,2.2,1.4,2.3,14.3
Vernon Carey Jr.,C,19,CHO,3,0,2,0.3,1,0.333,0,0.3,0,0.3,0.7,0.5,0.333,0.3,0.7,0.5,0.7,0.3,1,0.3,0,0.3,0,0,1
Jevon Carter,PG,25,PHO,23,0,11.1,1.1,3.2,0.342,0.6,2.1,0.286,0.5,1,0.458,0.438,0.1,0.1,1,0.1,1.3,1.4,1.1,0.4,0.3,0.2,1.2,2.9
Wendell Carter Jr.,C,21,CHI,16,16,26.6,4.8,8.6,0.551,0.3,0.9,0.267,4.5,7.7,0.585,0.565,3.3,4.5,0.722,2.2,5.6,7.8,2.2,0.7,0.7,1.9,3,13
Michael Carter-Williams,SG,29,ORL,10,5,24.6,2.9,8.2,0.354,0.2,1.7,0.118,2.7,6.5,0.415,0.366,1.7,2.3,0.739,1.8,2.9,4.7,3,0.5,0.4,1.6,2.7,7.7
Alex Caruso,PG,26,LAL,22,0,18.7,2,4.4,0.464,1,2.3,0.44,1,2.1,0.489,0.577,0.5,0.5,0.833,0.5,1.9,2.4,2.3,1,0.2,1.1,1.6,5.5
Willie Cauley-Stein,C,27,DAL,26,10,17.5,2.4,3.8,0.626,0,0.2,0.2,2.3,3.6,0.649,0.631,1.1,1.7,0.636,1.3,3.3,4.6,0.8,0.3,0.7,0.5,2.5,5.9
Chris Chiozza,PG,25,BRK,12,0,9.3,1,3.4,0.293,0.4,1.5,0.278,0.6,1.9,0.304,0.354,0.8,0.9,0.818,0.3,0.7,0.9,2.3,0.3,0.3,0.7,0.7,3.2
Marquese Chriss,PF,23,GSW,2,0,13.5,2.5,7,0.357,0.5,2.5,0.2,2,4.5,0.444,0.393,1,2,0.5,1.5,5,6.5,1,0,1,1,1.5,6.5
Gary Clark,SF,26,ORL,26,11,21,1.2,3.9,0.294,0.9,3.3,0.264,0.3,0.6,0.467,0.407,0.2,0.3,0.857,1.1,2.5,3.6,0.9,0.3,0.2,0.6,1.1,3.4
Brandon Clarke,PF,24,MEM,20,13,27.2,5.6,11.1,0.5,0.6,1.8,0.306,5,9.3,0.538,0.525,1.3,2.1,0.634,1.6,4,5.6,1.8,1.2,0.8,0.7,1.7,13
Jordan Clarkson,SG,28,UTA,29,0,26.2,6.7,14.8,0.453,3.2,8.5,0.382,3.4,6.3,0.549,0.563,1.6,1.7,0.958,0.9,3.2,4.1,2.1,1,0.2,1.9,1.4,18.2
Amir Coffey,SG,23,LAC,19,0,8.1,1.1,2.1,0.525,0.6,1.1,0.524,0.5,1,0.526,0.663,0.2,0.5,0.333,0.2,0.6,0.8,0.4,0.2,0,0.4,0.6,2.9
John Collins,PF,23,ATL,28,28,31.6,7.1,13,0.547,1.4,3.4,0.411,5.7,9.6,0.595,0.6,2.6,3,0.867,2.2,5.4,7.6,1.6,0.5,1,1.4,3.4,18.2
Mike Conley,PG,33,UTA,23,23,29.3,5.7,12.7,0.45,2.8,6.8,0.41,2.9,5.9,0.496,0.56,2.3,2.8,0.815,1,2.7,3.7,5.8,1.4,0.1,2,1.8,16.5
Pat Connaughton,SG,28,MIL,25,0,19,2.2,5.1,0.438,1.3,3.4,0.384,0.9,1.7,0.548,0.566,0.2,0.3,0.625,0.9,2.9,3.8,1.4,0.7,0.5,0.3,1.3,6
Quinn Cook,PG,27,LAL,15,0,3.4,0.6,1.4,0.429,0.3,0.7,0.364,0.3,0.7,0.5,0.524,0.3,0.3,0.8,0,0.3,0.3,0.3,0.1,0,0.2,0.1,1.7
DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,0.376,1.6,4.6,0.336,1.6,3.8,0.426,0.469,1.8,2.4,0.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3,9.6
Robert Covington,PF,30,POR,26,26,31.4,2.7,7.2,0.371,1.7,5.1,0.333,1,2.1,0.463,0.489,0.6,0.7,0.889,0.8,5.4,6.2,1.8,1.6,0.9,1,2.6,7.6
Torrey Craig,SF,30,MIL,15,0,11.7,1.1,2.5,0.459,0.5,1.2,0.444,0.6,1.3,0.474,0.568,0.1,0.1,0.5,0.8,1.8,2.6,0.8,0.5,0.3,0.3,1.5,2.9
Jae Crowder,PF,30,PHO,24,16,27.9,3.4,8.9,0.379,2.4,6.9,0.345,1,2,0.49,0.512,1.2,1.4,0.848,0.4,4.8,5.2,2.2,0.9,0.2,0.8,2,10.3
Jarrett Culver,SG,21,MIN,16,7,21.2,3.2,6.9,0.459,0.5,1.9,0.258,2.7,5,0.538,0.495,1.3,2.1,0.606,1.6,3.4,5,0.9,0.7,0.4,1.3,2.4,8.1
Seth Curry,SG,30,PHI,22,22,29,4.6,9.3,0.5,2.1,4.4,0.479,2.5,4.9,0.519,0.613,1.8,1.8,0.975,0.2,1.7,1.9,2.7,0.8,0.3,1.4,1.7,13.1
Stephen Curry,PG,32,GSW,29,29,34,10,20.3,0.492,5,11.8,0.425,5,8.6,0.582,0.614,5,5.3,0.935,0.4,4.9,5.3,6,1.2,0.1,3.2,1.9,30
Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,0.533,0.7,2.5,0.293,8.1,14.1,0.575,0.555,4,5.7,0.715,2,6.3,8.4,3,1.3,1.8,2,1.8,22.5
Ed Davis,C,31,MIN,19,7,13.9,0.9,2.3,0.419,0,0,0,0.9,2.3,0.419,0.419,0.4,0.4,0.875,2,3.1,5.1,1,0.5,0.5,0.3,2.6,2.3
Terence Davis,SG,23,TOR,22,2,13.8,2.5,5.8,0.438,1.3,3.3,0.384,1.3,2.5,0.509,0.547,0.4,0.5,0.9,0.3,1.4,1.6,0.9,0.5,0.1,0.9,1.7,6.8
DeMar DeRozan,PF,31,SAS,25,25,33.4,6.6,13.4,0.488,0.6,1.9,0.333,5.9,11.5,0.514,0.512,6,6.8,0.893,0.8,4.2,5,6.9,0.8,0.3,1.6,1.8,19.8
Hamidou Diallo,SG,22,OKC,28,5,24,4.7,9.8,0.48,0.4,1.4,0.289,4.3,8.5,0.511,0.5,2.7,4.1,0.661,1.1,4.3,5.4,2.5,1,0.4,1.5,2.5,12.5
Gorgui Dieng,C,31,MEM,19,1,17.7,2.6,4.9,0.532,1.1,2.1,0.5,1.6,2.8,0.556,0.638,1.4,1.6,0.839,1.4,3.4,4.8,1.4,0.8,0.7,1.1,1.8,7.7
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2,5.3,0.375,0.7,2.3,0.286,1.3,3,0.444,0.438,2,2,1,0,4.3,4.3,3,0.7,0.3,1.7,1.3,6.7
Donte DiVincenzo,SG,24,MIL,28,28,26.1,3.7,8.9,0.419,2,4.9,0.401,1.8,4,0.441,0.53,0.5,0.8,0.619,1,3.4,4.5,2.8,1.2,0.2,1.2,1.5,9.9
Luka Doncic,PG,21,DAL,27,27,35.3,10,21.1,0.475,2.4,7.2,0.335,7.6,14,0.546,0.532,6.6,8.3,0.795,0.9,7.7,8.6,9.4,1,0.7,4.2,2.2,29.1
Luguentz Dort,SG,21,OKC,27,27,29.6,4.3,10.6,0.409,1.9,5.7,0.323,2.5,4.9,0.511,0.497,2,2.6,0.746,0.7,2.8,3.5,1.4,0.9,0.3,1.5,2.5,12.5
Damyean Dotson,SG,26,CLE,24,6,20.4,3,7.2,0.41,1.1,3.8,0.283,1.9,3.4,0.556,0.486,0.8,1.1,0.692,0.2,1.7,1.8,2.2,0.5,0.1,0.8,0.9,7.8
Devon Dotson,PG,21,CHI,1,0,10,2,4,0.5,0,0,0,2,4,0.5,0.5,0,0,0,0,1,1,0,0,0,0,1,4
Sekou Doumbouya,PF,20,DET,24,1,13.1,1.5,4.3,0.353,0.4,1.6,0.256,1.1,2.6,0.413,0.402,0.7,1,0.739,0.6,1.8,2.4,0.6,0.4,0.1,0.7,1.5,4.1
PJ Dozier,SG,24,DEN,17,0,19.4,2.6,5.5,0.468,0.9,2.2,0.405,1.7,3.4,0.509,0.548,1.1,1.5,0.72,0.9,3.2,4.1,1.4,0.5,0.6,0.8,1.7,7.1
Goran Dragic,PG,34,MIA,17,6,26.5,5.2,11.5,0.456,1.6,4.6,0.359,3.6,6.9,0.521,0.528,2.2,2.8,0.809,0.4,2.6,3.1,5.3,0.5,0.1,3,2.6,14.4
Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,0.474,0,0.3,0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
Jared Dudley,PF,35,LAL,6,0,3.7,0.2,0.2,1,0.2,0.2,1,0,0,0,1.5,0,0,0,0.2,0.8,1,0.2,0,0,0,0,0.5
Kevin Durant,PF,32,BRK,19,18,35.7,9.9,18.9,0.524,2.6,5.9,0.434,7.3,12.9,0.565,0.592,6.6,7.6,0.869,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29
Anthony Edwards,SG,19,MIN,29,12,28.2,5.4,14.2,0.383,1.8,5.7,0.319,3.6,8.5,0.427,0.448,1.9,2.3,0.806,0.6,3.1,3.7,2.4,0.7,0.3,1.6,1.5,14.6
Carsen Edwards,SG,22,BOS,13,1,10.3,1.8,4.2,0.436,0.8,2.3,0.333,1.1,1.9,0.56,0.527,0.5,0.7,0.778,0.2,0.8,1,0.4,0.3,0.1,0.2,1.2,5
CJ Elleby,SF,20,POR,12,0,8,1.2,2.4,0.483,0.4,1.5,0.278,0.8,0.9,0.818,0.569,0.5,0.8,0.667,0.3,0.7,1,0.3,0.3,0.3,0.3,1.3,3.3
Wayne Ellington,SG,33,DET,21,18,22.9,3.7,8,0.456,2.7,6.2,0.438,1,1.9,0.513,0.624,0.6,0.8,0.75,0.3,1.6,2,1.1,0.4,0.2,0.7,1.5,10.6
Joel Embiid,C,26,PHI,23,23,32.5,9.4,17.5,0.54,1.2,3,0.397,8.3,14.5,0.569,0.573,9.7,11.3,0.851,1.9,8.9,10.8,3.1,1.3,1.2,3.4,2.5,29.7
James Ennis,SF,30,ORL,20,19,21.9,2.6,5.2,0.495,0.9,1.9,0.447,1.7,3.3,0.523,0.578,1.3,1.6,0.839,1.2,2.6,3.8,1.4,1,0.3,1,2.2,7.3
Drew Eubanks,C,23,SAS,11,0,12.6,1.5,3.4,0.432,0,0,0,1.5,3.4,0.432,0.432,1.1,1.5,0.75,0.6,2.7,3.4,0.4,0.1,1.4,0.5,1.3,4
Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,0.385,0.3,1.8,0.182,1.3,2.5,0.533,0.423,0.2,0.3,0.5,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
Tacko Fall,C,25,BOS,6,0,8.2,1.3,2,0.667,0,0,0,1.3,2,0.667,0.667,0.5,1.3,0.375,1.3,2.2,3.5,0,0,1.3,0.2,1.5,3.2
Derrick Favors,C,29,UTA,27,0,16.4,2.4,3.9,0.629,0,0,0,2.4,3.9,0.635,0.629,1.4,1.7,0.804,2.1,3.5,5.6,0.9,0.6,1.1,0.6,2.5,6.3
Cristiano Felico,C,28,CHI,6,0,6.3,0.5,0.7,0.75,0,0,0,0.5,0.7,0.75,0.75,0.8,1.3,0.625,1,1,2,0.8,0.3,0,0.5,0.5,1.8
Terrance Ferguson,SG,22,PHI,7,0,3.4,0,0.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0,0,0.1,0.4,0
Bruno Fernando,C,22,ATL,15,0,8.8,0.6,1.5,0.409,0,0.1,0,0.6,1.3,0.45,0.409,0.6,1,0.6,0.8,2.7,3.5,0.6,0.1,0.1,0.8,1,1.8
Yogi Ferrell,PG,27,CLE,2,0,20,4,10.5,0.381,1.5,4.5,0.333,2.5,6,0.417,0.452,0,1,0,1.5,2,3.5,2.5,1.5,0.5,1.5,2,9.5
Dorian Finney-Smith,PF,27,DAL,19,19,30.7,3.3,7.4,0.45,1.9,5.1,0.381,1.4,2.3,0.605,0.582,0.5,0.6,0.833,1.5,3.3,4.8,1.2,1,0.4,0.6,2.7,9.1
Malachi Flynn,PG,22,TOR,13,0,8.2,0.8,3,0.282,0.4,1.8,0.217,0.5,1.2,0.375,0.346,0.2,0.3,0.5,0.1,0.6,0.7,1.2,0.3,0,0.3,0.8,2.2
Bryn Forbes,SG,27,MIL,28,5,18.4,3.5,7.2,0.48,2,4.3,0.471,1.4,2.9,0.494,0.621,0.5,0.7,0.7,0.2,1,1.1,0.5,0.3,0,0.7,1.2,9.5
Trent Forrest,PG,22,UTA,4,0,3.3,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0.5,1,0,0.3,0.3,0.3,0.5,0,0,0.5,0.5
Evan Fournier,SF,28,ORL,15,15,28.7,5.8,12.9,0.451,2.3,6.2,0.366,3.5,6.7,0.53,0.539,4,5,0.8,0.3,2.3,2.5,3.6,1,0.4,2.1,2.3,17.9
De'Aaron Fox,PG,23,SAC,26,26,33.1,8.4,17.7,0.476,1.8,5.4,0.343,6.6,12.3,0.534,0.528,4.5,6.6,0.69,0.7,2.6,3.3,6.8,1.2,0.5,3.1,2.7,23.2
Tim Frazier,PG,30,MEM,3,0,11,0.7,2.7,0.25,0,0.7,0,0.7,2,0.333,0.25,0,0,0,0,1.3,1.3,2.3,0.3,0,1,1.3,1.3
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13,0.394,0.5,2,0.25,4.6,11,0.42,0.413,2.1,2.4,0.895,0.6,2.5,3.1,5.4,1,0.3,2.3,2.3,12.9
Wenyen Gabriel,PF,23,NOP,3,0,3.3,0,1,0,0,0.3,0,0,0.7,0,0,0,0,0,0.3,1,1.3,0.3,0,0,0,0,0
Daniel Gafford,PF,22,CHI,23,11,14.3,2.1,3.2,0.671,0,0,0,2.1,3.2,0.671,0.671,1.1,1.6,0.676,1.4,1.9,3.3,0.7,0.5,1.3,0.8,2,5.3
Danilo Gallinari,PF,32,ATL,16,1,19.7,3,7.6,0.397,1.6,4.3,0.377,1.4,3.3,0.423,0.504,3.1,3.3,0.942,0.2,2.7,2.9,1.1,0.2,0.1,1.2,1.9,10.7
Langston Galloway,SG,29,PHO,22,0,11.1,1.5,3.3,0.466,0.9,1.9,0.476,0.6,1.4,0.452,0.603,0.7,0.7,1,0.2,0.9,1.1,0.7,0.2,0,0.3,0.6,4.7
Darius Garland,PG,21,CLE,21,18,32.3,6.4,14.2,0.452,1.7,4.1,0.407,4.8,10.1,0.469,0.51,1.3,1.5,0.903,0.5,1.8,2.2,5.3,1,0.1,2.5,2.4,15.9
Marc Gasol,C,36,LAL,29,29,20,1.4,3.4,0.4,0.7,2,0.351,0.7,1.5,0.465,0.5,0.8,0.9,0.88,0.8,3.4,4.2,1.8,0.4,1.2,0.8,2.4,4.2
Rudy Gay,PF,34,SAS,26,0,22,4.2,9.9,0.419,1.6,4.3,0.366,2.6,5.6,0.459,0.498,1.3,1.7,0.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2
Paul George,SF,30,LAC,20,20,34,8.4,16.6,0.508,3.8,7.9,0.478,4.7,8.7,0.534,0.621,3.8,4.2,0.905,0.7,5.6,6.2,5.5,1.2,0.5,3.6,2.3,24.4
Taj Gibson,PF,35,NYK,8,0,13.6,1.3,2.5,0.5,0.1,0.6,0.2,1.1,1.9,0.6,0.525,0.4,0.8,0.5,1.4,1.8,3.1,0.5,0.3,0.4,0.3,1.9,3
Harry Giles,C,22,POR,22,0,11.8,1.2,2.8,0.419,0.1,0.4,0.375,1,2.5,0.426,0.444,0.6,0.8,0.722,1.1,3.8,4.9,0.9,0.2,0.4,0.7,2,3.1
Shai Gilgeous-Alexander,SG,22,OKC,22,22,33.7,7.9,15.6,0.503,1.9,4.9,0.383,6,10.8,0.557,0.563,5,6.3,0.784,0.7,4.7,5.4,6.5,0.8,0.6,2.9,2,22.5
Anthony Gill,PF,28,WAS,10,1,6.5,0.3,1,0.3,0.1,0.7,0.143,0.2,0.3,0.667,0.35,0.3,0.4,0.75,0.3,1.6,1.9,0.3,0.3,0.2,0.3,0.3,1
Rudy Gobert,C,28,UTA,29,29,30.3,5.4,8.5,0.64,0,0,0,5.4,8.5,0.642,0.64,3.3,5.8,0.581,3.5,9.9,13.4,1.3,0.4,2.7,1.6,2.2,14.2
Brandon Goodwin,PG,25,ATL,22,0,12.7,1.5,4.6,0.324,0.6,2.4,0.269,0.9,2.3,0.38,0.392,0.8,1.1,0.708,0.1,1.1,1.2,2,0.5,0,0.5,1,4.4
Aaron Gordon,PF,25,ORL,19,19,29.1,4.8,11.2,0.427,1.6,4.4,0.369,3.2,6.8,0.465,0.5,2.6,4.2,0.613,1.7,5.5,7.2,4.2,0.7,0.8,2.8,2,13.8
Eric Gordon,SG,32,HOU,22,10,29.4,6.2,13.5,0.463,2.7,7.8,0.351,3.5,5.7,0.616,0.564,3.5,4.2,0.848,0.3,1.9,2.2,2.7,0.5,0.5,1.9,1.5,18.7
Devonte' Graham,PG,25,CHO,25,25,32.8,4.4,12.4,0.352,2.8,8.1,0.347,1.6,4.3,0.361,0.465,2.2,2.8,0.775,0.6,2.4,3,5.7,1,0,1.4,1.5,13.7
Jerami Grant,SF,26,DET,28,28,36.3,7.9,17.8,0.443,2.6,6.6,0.387,5.3,11.2,0.476,0.515,5.4,6.1,0.883,0.8,4.4,5.3,2.9,0.8,1.2,1.7,2.8,23.8
Danny Green,SF,33,PHI,29,29,28.4,3.1,7.7,0.401,2.2,5.8,0.375,0.9,1.9,0.481,0.543,0.3,0.5,0.714,1,2.7,3.7,1.7,1.1,0.7,1.4,1.7,8.7
Draymond Green,PF,30,GSW,24,24,29,2,5.4,0.362,0.3,1.8,0.186,1.6,3.6,0.448,0.392,1,1.4,0.676,0.6,5,5.6,8.3,1.4,0.6,2.6,3.1,5.2
JaMychal Green,PF,30,DEN,24,3,21.3,3.3,7.5,0.441,1.7,4,0.427,1.6,3.5,0.458,0.556,1.1,1.3,0.844,1.7,4.5,6.3,1,0.6,0.3,1.1,2.8,9.4
Javonte Green,SG,27,BOS,18,1,15.3,1.7,3.4,0.5,0.4,1.2,0.333,1.3,2.3,0.585,0.556,1.1,1.6,0.69,0.9,1.6,2.5,0.4,0.9,0.1,0.6,1.2,4.9
Jeff Green,PF,34,BRK,30,13,26,3.5,6.9,0.505,1.6,3.7,0.427,1.9,3.2,0.594,0.619,1.2,1.5,0.822,0.5,3.3,3.7,1.4,0.7,0.3,0.8,2,9.7
Josh Green,SG,20,DAL,17,5,12.5,1,2.1,0.472,0.1,0.7,0.167,0.9,1.4,0.625,0.5,0.4,0.6,0.545,0.7,1.6,2.3,0.6,0.2,0.1,0.6,0.9,2.5
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,0.365,2,6.2,0.315,2.1,4.9,0.429,0.453,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
Kyle Guy,PG,23,SAC,10,0,7.9,0.9,3.2,0.281,0.4,1.6,0.25,0.5,1.6,0.313,0.344,0.7,0.8,0.875,0.3,0.9,1.2,1.3,0.4,0,0.1,0.5,2.9
Rui Hachimura,PF,22,WAS,19,19,29.2,4.7,10.3,0.454,0.8,2.6,0.3,3.9,7.7,0.507,0.492,3.1,3.9,0.784,1.2,4.3,5.4,2,0.6,0.1,1,2.1,13.2
Ashton Hagans,PG,21,MIN,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Tyrese Haliburton,PG,20,SAC,25,2,29.4,4.8,9.6,0.498,2.3,5.2,0.443,2.4,4.3,0.565,0.619,0.6,0.7,0.824,1,2.6,3.6,5.2,1.2,0.6,1.6,1.2,12.4
Josh Hall,SF,20,OKC,7,0,7.3,0.6,2.6,0.222,0.1,1.1,0.125,0.4,1.4,0.3,0.25,0.4,1,0.429,0.1,1.1,1.3,1,0,0,0.6,1,1.7
R.J. Hampton,PG,19,DEN,21,0,8.6,0.9,2.2,0.404,0.2,0.8,0.313,0.7,1.5,0.452,0.457,0.2,0.3,0.667,0.4,1.5,1.9,0.5,0.2,0.1,0.5,0.8,2.2
Tim Hardaway Jr.,SG,28,DAL,27,17,30.6,5.9,13.3,0.439,3.1,7.8,0.393,2.8,5.5,0.503,0.554,1.9,2.4,0.785,0.2,3,3.2,1.6,0.7,0.1,0.9,1.6,16.7
James Harden,SG,31,TOT,24,24,37.6,7.6,15.8,0.482,3,7.9,0.384,4.6,7.9,0.579,0.578,6.2,6.9,0.897,0.8,6.5,7.3,11.3,1,0.8,4.3,2.3,24.5
James Harden,SG,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9,0.347,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8
James Harden,SG,31,BRK,16,16,38.3,7.7,15.3,0.502,3,7.4,0.407,4.7,7.9,0.591,0.6,5.9,6.6,0.905,0.8,7.6,8.4,11.8,1.1,0.8,4.3,2.6,24.3
Maurice Harkless,SF,27,MIA,10,3,10.9,0.4,1,0.4,0.4,0.8,0.5,0,0.2,0,0.6,0,0.2,0,0.1,0.8,0.9,0.7,0.2,0.3,0.2,1.2,1.2
Jared Harper,PG,23,NYK,2,0,2.5,0,0.5,0,0,0,0,0,0.5,0,0,1,1,1,0,0,0,0,0,0,1,0,1
Montrezl Harrell,C,27,LAL,29,0,24.6,5.3,8.3,0.646,0,0.1,0,5.3,8.1,0.657,0.646,2.6,3.6,0.738,2.3,4,6.3,1.1,0.7,0.7,1.3,2.2,13.3
Gary Harris,SG,26,DEN,19,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,2.4,4.3,0.556,0.519,1.2,1.6,0.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7
Jalen Harris,SG,22,TOR,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,1,0
Joe Harris,SF,29,BRK,30,26,30.9,5.5,10.5,0.529,3.3,6.6,0.495,2.3,3.9,0.586,0.685,0.5,0.8,0.696,0.6,2.9,3.5,1.9,0.5,0.2,0.8,2.4,14.9
Tobias Harris,PF,28,PHI,26,26,34.5,8,15.4,0.518,1.8,4.2,0.426,6.2,11.2,0.551,0.575,3.1,3.5,0.9,1.3,6.5,7.7,3.1,0.8,0.8,2,2.1,20.8
Shaquille Harrison,SG,27,UTA,16,0,3.4,0.4,1.2,0.316,0,0.1,0,0.4,1.1,0.333,0.316,0.3,0.4,0.833,0.2,0.4,0.6,0.5,0.1,0,0.3,0.2,1.1
Josh Hart,SF,25,NOP,28,2,28,3.1,7,0.451,1.4,4.1,0.348,1.7,2.9,0.6,0.554,1.1,1.6,0.711,1,6.4,7.5,2.1,0.8,0.2,0.8,2.2,8.9
Isaiah Hartenstein,C,22,DEN,18,0,8.7,1.7,3.1,0.545,0,0,0,1.7,3.1,0.545,0.545,0.9,1.5,0.593,1.4,1.4,2.8,0.6,0.4,0.7,0.8,2.2,4.2
Jaxson Hayes,C,20,NOP,21,1,11.7,1.7,2.6,0.636,0,0,0,1.7,2.6,0.636,0.636,0.9,1.2,0.692,1.2,2.4,3.6,0.4,0.3,0.3,0.6,1.8,4.2
Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,0.277,0.7,2.9,0.25,1.1,3.9,0.296,0.33,0.1,0.3,0.5,0.1,1,1.1,3.6,0.3,0,2.4,2.1,4.6
Gordon Hayward,SF,30,CHO,26,26,35.5,8.1,16.6,0.486,2.2,5.2,0.422,5.9,11.4,0.515,0.552,3.9,4.5,0.864,0.9,4.5,5.5,3.8,1.1,0.4,2.1,1.9,22.3
Juan Hernangomez,PF,25,MIN,13,6,18.6,2.3,5.8,0.4,1.1,3.4,0.318,1.2,2.4,0.516,0.493,0.7,1.1,0.643,1,4,5,0.5,0.4,0.2,0.5,0.9,6.4
Willy Hernangomez,C,26,NOP,13,0,17.1,2.8,5.1,0.545,0.1,0.4,0.2,2.7,4.7,0.574,0.553,1.2,1.8,0.652,2.6,3.8,6.5,1.2,0.5,0.4,0.4,1.1,6.8
Tyler Herro,SG,21,MIA,20,14,34.4,6.5,14.8,0.437,2.1,6.2,0.339,4.4,8.6,0.509,0.508,2,2.5,0.78,0.5,5.9,6.3,3.9,0.5,0.5,2.6,1.7,17
Buddy Hield,SG,28,SAC,27,27,34.8,5.3,14.1,0.377,3.9,10.4,0.377,1.4,3.7,0.376,0.516,1.5,1.7,0.872,0.4,4.4,4.8,3,0.9,0.3,2,2.7,16.1
George Hill,PG,34,OKC,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
